DTTimesetBasicSheet,version=2.3:platform=Jaguar:toprow=-1:leftcol=-1:rightcol=-1	Time Sets (Basic)																	
																		
	Timing Mode:	Dual		Master Timeset Name:														
	Time Domain:			Strobe Ref Setup Name:														
																		
		Cycle	Pin/Group			Data		Drive				Compare				Edge Resolution		
	Time Set	Period	Name	Clock Period	Setup	Src	Fmt	On	Data	Return	Off	Mode	Open	Close	Ref Offset	Mode	Comment	
	TSETJTAGG	0.0000001	AOP_I2CM0_SCL		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2CM0_SDA		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2CM1_SCL		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2CM1_SDA		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2CM2_SCL		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2CM2_SDA		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2CM3_SCL		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2CM3_SDA		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2S0_BCLK		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2S0_DIN		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2S0_DOUT		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2S0_LRCK		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2S0_MCK		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2S1_BCLK		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2S1_DIN		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2S1_DOUT		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2S1_LRCK		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_I2S1_MCK		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO0		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO10		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO11		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO12		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO13		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO14		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO15		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO1		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO2		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO3		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO4		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO5		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO6		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO7		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO8		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SCM_IO9		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SPI0_MISO		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SPI0_MOSI		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SPI0_SCLK		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SPI1_MISO		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SPI1_MOSI		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SPI1_SCLK		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SPMI0_SCLK		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SPMI0_SDATA		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SPMI1_SCLK		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_SPMI1_SDATA		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_UART2_RXD		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	AOP_UART2_TXD		i/o	PAT	NR	0	0		0	Edge	0.000000049			Auto		
	TSETJTAGG	0.0000001	BOARD_ID0		i/o	PAT	NR	0	0			Off				Auto		
	TSETJTAGG	0.0000001	BOARD_ID1		i/o	PAT	NR	0	0			Off				Auto		
	TSETJTAGG	0.0000001	BOARD_ID2		i/o	PAT	NR	0	0			Off				Auto		
	TSETJTAGG	0.0000001	BOARD_ID3		i/o	PAT	NR	0	0			Off				Auto		
	TSETJTAGG	0.0000001	BOARD_ID4		i/o	PAT	NR	0	0			Off				Auto		
	TSETJTAGG	0.0000001	CFSB		i/o	PAT	NR	0	0			Off				Auto		
	TSETJTAGG	0.0000001	CFSB_AON		i/o	PAT	NR	0	0			Off				Auto		
	TSETJTAGG	0.0000001	CFSB_XTAL		i/o	PAT	NR	0	0			Off				Auto		
