Deterministic, Owner, OTP_AHC_V01_Default_Value, OTP Address Name, AHB Address Name, AHB Read Value, OTP DataBase Value
Default,CHIPLEAD,1,OTP__ARRAY_PROGRAMMED_0,N/A,N/A,0,
Default,TRIM,0,OTP__ARRAY_PROG_CRC_PTR_0,N/A,N/A,0,
Default,DESIGN,2,OTP_HOST_INTERFACE_OTP_REVISION_1,HOST_INTERFACE_SYSTEM_CONTROL_REGISTERS_OTP_REV.OTP_REVISION,2,2,
Default,DESIGN,3,OTP_HOST_INTERFACE_OTP_CONSUMER_1,HOST_INTERFACE_SYSTEM_CONTROL_REGISTERS_OTP_REV.OTP_CONSUMER,3,3,
Default,SYSTEM,0,OTP_HOST_INTERFACE_PLATFORM_ID_2,HOST_INTERFACE_SYSTEM_CONTROL_REGISTERS_PLATFORM_ID.PLATFORM_ID,0,0,
Real,TRIM,0,OTP_HOST_INTERFACE_CHIP_ID_0_3,HOST_INTERFACE_SYSTEM_CONTROL_REGISTERS_CHIP_ID_0.CHIP_ID_0,38,38,
Real,TRIM,1,OTP_HOST_INTERFACE_CHIP_ID_1_4,HOST_INTERFACE_SYSTEM_CONTROL_REGISTERS_CHIP_ID_1.CHIP_ID_1,6,6,
Real,TRIM,2,OTP_HOST_INTERFACE_CHIP_ID_2_5,HOST_INTERFACE_SYSTEM_CONTROL_REGISTERS_CHIP_ID_2.CHIP_ID_2,64,64,
Real,TRIM,3,OTP_HOST_INTERFACE_CHIP_ID_3_6,HOST_INTERFACE_SYSTEM_CONTROL_REGISTERS_CHIP_ID_3.CHIP_ID_3,52,52,
Real,TRIM,4,OTP_HOST_INTERFACE_CHIP_ID_4_7,HOST_INTERFACE_SYSTEM_CONTROL_REGISTERS_CHIP_ID_4.CHIP_ID_4,72,72,
Real,TRIM,5,OTP_HOST_INTERFACE_CHIP_ID_5_8,HOST_INTERFACE_SYSTEM_CONTROL_REGISTERS_CHIP_ID_5.CHIP_ID_5,4,4,
Real,TRIM,6,OTP_HOST_INTERFACE_CHIP_ID_6_9,HOST_INTERFACE_SYSTEM_CONTROL_REGISTERS_CHIP_ID_6.CHIP_ID_6,31,31,
Real,TRIM,7,OTP_HOST_INTERFACE_CHIP_ID_7_10,HOST_INTERFACE_SYSTEM_CONTROL_REGISTERS_CHIP_ID_7.CHIP_ID_7,0,0,
Default,SYSTEM,15,OTP_HOST_INTERFACE_SLAVE_ID_PRIV_11,HOST_INTERFACE_SPMI_REGISTERS_SPMI_CTRL.SLAVE_ID_PRIV,15,15,
Default,SYSTEM,1,OTP_HOST_INTERFACE_RCS_EN_11,HOST_INTERFACE_SPMI_REGISTERS_SPMI_CTRL.RCS_EN,1,1,
Default,SYSTEM,0,OTP_HOST_INTERFACE_RCS_USE_NONPRIV_ID_11,HOST_INTERFACE_SPMI_REGISTERS_SPMI_CTRL.RCS_USE_NONPRIV_ID,0,0,
Default,SYSTEM,0,OTP_HOST_INTERFACE_MASTER_HOST_ID_12,HOST_INTERFACE_SPMI_REGISTERS_MASTER_HOST_ID.MASTER_HOST_ID,0,0,
