
								CP1	CP1	CP1	QA_C	QA_C	QA_S	QA_S	CHAR_N25C	CHAR_N25C	CHAR_0C	CHAR_0C	CHAR_25C	CHAR_25C	CHAR_85C	CHAR_85C	CHAR_125C	CHAR_125C	FT1	FT1	TBD2	TBD2	
		flowtable	instance	testname	PETname	testnumber	scale	units	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	comment	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-ANA_X_X_X_P_X_VDDHV_MeasI_X_X_X_X		95716		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-ANA_X_X_X_P_X_VDDLV_MeasI_X_X_X_X		95716		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-ANA_X_X_X_P_X_VDDNV_MeasI_X_X_X_X		95716		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-ANA_X_X_X_P_X_VDDULV_MeasI_X_X_X_X		95716		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-BOOST-LDO_X_X_X_P_X_VDDHV_MeasI_X_X_X_X		95714		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-BOOST-LDO_X_X_X_P_X_VDDLV_MeasI_X_X_X_X		95714		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-BOOST-LDO_X_X_X_P_X_VDDNV_MeasI_X_X_X_X	LDO_Shutdown-I_VDD-BOOST-LDO_X_X_X_P_X_VDDNV_MeasI_X_X_IQ.00.P0001_X	95714		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-BOOST-LDO_X_X_X_P_X_VDDULV_MeasI_X_X_X_X		95714		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO11_X_X_X_P_X_VDDHV_MeasI_X_X_X_X		95722		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
