
								CP1	CP1	CP1	QA_C	QA_C	QA_S	QA_S	CHAR_N25C	CHAR_N25C	CHAR_0C	CHAR_0C	CHAR_25C	CHAR_25C	CHAR_85C	CHAR_85C	CHAR_125C	CHAR_125C	FT1	FT1	TBD2	TBD2	
		flowtable	instance	testname	PETname	testnumber	scale	units	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	comment	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_PILIM_PAR_Trim_GenTool	Buck0_LP_PILIM_LX-750mA_X_X_TrimTarget_T_VDD3.80V_ToggleDTB_X_X_X_X		95208		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_PILIM_PAR_Trim_GenTool	Buck0_LP_PILIM_LX-750mA_X_X_FinalTrimCode_C_VDD3.80V_ToggleDTB_X_X_X_X	Buck0_LP_PILIM_LX-750mA_X_X_FinalTrimCode_C_VDD3.80V_ToggleDTB_X_X_BUCK.00.C0127_X	95209			0	63	0	63	0	63	0	63	0	63	0	63	0	63	0	63	0	63	0	63	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_PILIM_PAR_Trim_GenTool	Buck2_LP_PILIM_LX-750mA_X_X_TrimTarget_T_VDD3.80V_ToggleDTB_X_X_X_X		95210		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_PILIM_PAR_Trim_GenTool	Buck2_LP_PILIM_LX-750mA_X_X_FinalTrimCode_C_VDD3.80V_ToggleDTB_X_X_X_X	Buck2_LP_PILIM_LX-750mA_X_X_FinalTrimCode_C_VDD3.80V_ToggleDTB_X_X_BUCK.02.C0089_X	95211			0	63	0	63	0	63	0	63	0	63	0	63	0	63	0	63	0	63	0	63	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_PILIM_PAR_Trim_GenTool	Buck10_LP_PILIM_LX-750mA_X_X_TrimTarget_T_VDD3.80V_ToggleDTB_X_X_X_X		95212		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_PILIM_PAR_Trim_GenTool	Buck10_LP_PILIM_LX-750mA_X_X_FinalTrimCode_C_VDD3.80V_ToggleDTB_X_X_X_X	Buck10_LP_PILIM_LX-750mA_X_X_FinalTrimCode_C_VDD3.80V_ToggleDTB_X_X_BUCK.10.C0077_X	95213			0	63	0	63	0	63	0	63	0	63	0	63	0	63	0	63	0	63	0	63	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_PILIM_PAR_Trim_GenTool	Buck11_LP_PILIM_LX-750mA_X_X_TrimTarget_T_VDD3.80V_ToggleDTB_X_X_X_X		95214		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_PILIM_PAR_Trim_GenTool	Buck11_LP_PILIM_LX-750mA_X_X_FinalTrimCode_C_VDD3.80V_ToggleDTB_X_X_X_X	Buck11_LP_PILIM_LX-750mA_X_X_FinalTrimCode_C_VDD3.80V_ToggleDTB_X_X_BUCK.11.C0077_X	95215			0	63	0	63	0	63	0	63	0	63	0	63	0	63	0	63	0	63	0	63	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_PILIM_PAR_Trim_GenTool	Buck0_LP_PILIM_LX-750mA_X_X_FinalTrim_T_VDD3.80V_ToggleDTB_X_X_X_X	Buck0_LP_PILIM_LX-750mA_X_X_FinalTrim_T_VDD3.80V_ToggleDTB_X_X_BUCK.00.T0106_X	95216		A	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_PILIM_PAR_Trim_GenTool	Buck2_LP_PILIM_LX-750mA_X_X_FinalTrim_T_VDD3.80V_ToggleDTB_X_X_X_X	Buck2_LP_PILIM_LX-750mA_X_X_FinalTrim_T_VDD3.80V_ToggleDTB_X_X_BUCK.02.T0072_X	95217		A	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_PILIM_PAR_Trim_GenTool	Buck10_LP_PILIM_LX-750mA_X_X_FinalTrim_T_VDD3.80V_ToggleDTB_X_X_X_X	Buck10_LP_PILIM_LX-750mA_X_X_FinalTrim_T_VDD3.80V_ToggleDTB_X_X_BUCK.10.T0062_X	95218		A	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_PILIM_PAR_Trim_GenTool	Buck11_LP_PILIM_LX-750mA_X_X_FinalTrim_T_VDD3.80V_ToggleDTB_X_X_X_X	Buck11_LP_PILIM_LX-750mA_X_X_FinalTrim_T_VDD3.80V_ToggleDTB_X_X_BUCK.11.T0062_X	95219		A	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	-0.78	-0.72	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck0_LP_LS_CSA_X_X_TrimTarget_T_VDD3.80V_MeasG_X_X_X_X		95228			N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck0_LP_LS_CSA_X_X_PreTrimCode_C_VDD3.80V_MeasG_X_X_X_X	Buck0_LP_LS_CSA_X_X_PreTrimCode_C_VDD3.80V_MeasG_X_X_BUCK.00.C0128_X	95229			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck0_LP_LS_CSA_X_X_PreTrim_T_VDD3.80V_MeasG_X_X_X_X		95230			N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck0_LP_LS_CSA_X_X_FirstTrimCode_X_VDD3.80V_MeasG_X_X_X_X		95231			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck0_LP_LS_CSA_X_X_FirstTrim_X_VDD3.80V_MeasG_X_X_X_X		95232			N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
