DFF 1.1
	

	IG-XL Version		9.10.00_uflx(P5.2) 07.23.19.11.00	
	Test Program		LR68_CP1_X4_E04_200116_V04A_PROD_BCV0p71_25C.igxl	
	Date		43847.8305555556	
	User		SUFLX641\wafer	
	Computer Name		SUFLX641	
	Computer OS		Windows 7 Service Pack 1	
	Computer Speed		~3292 Mhz GenuineIntel Intel64 Family 6 Model 45 Stepping 7 (8 Processor(s))	
	Computer Memory		33476168 KB RAM	
	DSP PC		1 DSP PC(s) with 1 Processor(s), GenuineIntel Intel64 Family 6 Model 62 Stepping 4 each with 10 Cores per processor 16	
	Tester		Jaguar	
	Job		CP1	
	Channel Map		ChannelMap_CP_4_site	
	Part	
	Environment	
	Sites		4	
	SitesStartingCount		1	
	Enable Words		Bintable,Temp_25C,CP,CFG_UDR_MON_Read_Enable,CFG_Enable,BKM_Fuse,CFG_Early_Enable,ECID_Enable,CP1,EVS,ECID_DEID_Enable,ECID_nonDEID_Enable,UDR_P_Enable,UDR_E_Enable,MON_Enable,HardIPBin,Prod_CP1,HARDIP_PCIE,HARDIP_PCIEREFBUF,HARDIP_CIO,HARDIP_LPDPRX,HARDIP_LPDPTX,HARDIP_ADC,HARDIP_SEPVM,HARDIP_RLXOSC,HARDIP_AMP,HARDIP_MIPI,HARDIP_EUSB,HARDIP_LLPS,HARDIP_FRO,HARDIP_DCM,HARDIP_IVDM,HARDIP_DSGRINGS,HARDIP_PSR1,HARDIP_VTHSENSOR,HARDIP_WRITERLEAKER,HARDIP_PCIEREFPLL,HARDIP_PCIETXPLL,HARDIP_PCIEAUSPLL,HARDIP_LPDPAUSPLL,HARDIP_CIO3PLL,HARDIP_CIOAUSPLL,HARDIP_ADCLK,HARDIP_SOCPLL,HARDIP_DDRPLL,HARDIP_ULPPLL,HARDIP_FLPPLL,eFuse_All_Enable,XI0_nWire,UID_Enable,UDR_E_Early_Enable,UDR_P_Early_Enable,HARDIP_MTRTSNS,HARDIP_MTRSNS,HARDIP_MTRGR,HARDIP_PCMRINGS,HARDIP_SEPDFM,HardIP_Autorange,Prod_All,Mbist_FingerPrint,Mbist_FingerPrint_Vector,BV_Mbist,UARTToDatalog,Enable_HardIP,SPIROM_1_Write	
	Run Mode		Run	
	Total Execution Time		180.5589799	
	Total Results Overhang		N/A	
	Session Comment	


	Flow Sheet	Line	Flow Step		VBT	
				Total	PreBody	Body	PostBody	TName	TNum	
	Main_Flow_CP1	0	PreJob Reset	0.0546572	
	Main_Flow_CP1	5	SET-ERROR-BIN	0.0000402	
	Main_Flow_CP1	6	CREATE-INTEGER	0.0000398	
	Main_Flow_CP1	7	CREATE-INTEGER	0.0000177	
	Main_Flow_CP1	8	CREATE-INTEGER	0.0000162	
	Main_Flow_CP1	9	CREATE-SITE-VAR	0.0000192	
	Main_Flow_CP1	10	ASSIGN-SITE-VAR	0.0000261	
	Main_Flow_CP1	11	CREATE-SITE-VAR	0.0000181	
	Main_Flow_CP1	12	ASSIGN-SITE-VAR	0.0000193	
	Main_Flow_CP1	13	CREATE-SITE-VAR	0.0000162	
	Main_Flow_CP1	14	ASSIGN-SITE-VAR	0.0000171	
	Main_Flow_CP1	15	CREATE-SITE-VAR	0.0000153	
	Main_Flow_CP1	16	ASSIGN-SITE-VAR	0.0000199	
	Main_Flow_CP1	17	CREATE-SITE-VAR	0.0000184	
	Main_Flow_CP1	18	ASSIGN-SITE-VAR	0.0000199	
	Main_Flow_CP1	19	CREATE-SITE-VAR	0.0000177	
	Main_Flow_CP1	20	ASSIGN-SITE-VAR	0.0000258	
	Main_Flow_CP1	21	CREATE-SITE-VAR	0.0000208	
	Main_Flow_CP1	22	ASSIGN-SITE-VAR	0.0000171	
	Main_Flow_CP1	23	CREATE-SITE-VAR	0.0000149	
	Main_Flow_CP1	24	ASSIGN-SITE-VAR	0.0000171	
	Main_Flow_CP1	25	CREATE-SITE-VAR	0.0000193	
	Main_Flow_CP1	26	CREATE-SITE-VAR	0.0000171	
	Main_Flow_CP1	27	CREATE-SITE-VAR	0.0000152	
	Main_Flow_CP1	28	CREATE-SITE-VAR	0.0000227	
	Main_Flow_CP1	29	CREATE-SITE-VAR	0.0000202	
	Main_Flow_CP1	30	CREATE-SITE-VAR	0.0000162	
	Main_Flow_CP1	31	CREATE-SITE-VAR	0.0000153	
	Main_Flow_CP1	32	CREATE-SITE-VAR	0.0000146	
	Main_Flow_CP1	33	CREATE-INTEGER	0.0000171	
	Main_Flow_CP1	34	CALL	0.0000293	
	Flow_Table_Main_Init_Flags	5	PRINT	0.0000612	
	Flow_Table_Main_Init_Flags	6	FLAG-FALSE	0.0000454	
	Flow_Table_Main_Init_Flags	7	FLAG-FALSE	0.0000165	
	Flow_Table_Main_Init_Flags	8	FLAG-FALSE	0.0000168	
