DTChanMap,version=2.6:platform=Jaguar:toprow=-1:leftcol=-1:rightcol=-1:dataformat=signal	Channel Map

	DIB ID:			View Mode:	
	USL Tag:
	Device Under Test		Tester Channel
	Pin Name	Package Pin	Type	Site 0	Site 1	Comment
	ACTIVE_READY		I/O	15.CH45	15.CH193	
	ADC_IN		I/O	15.CH56	15.CH196	
	ADC_IN_UVI80		DCVI	19.sense76	7.sense76	
	ADC_IN_UVI80_DM		DCDiffMeter	19.sense76	7.sense76	
	ADC_IN_UVI80_DT		DCTime	19.sense76	7.sense76	
	ADG1414_DIN		I/O	15.CH53	15.CH129	
	ADG1414_RESET		I/O	15.CH55	15.CH135	
	ADG1414_SCLK		I/O	15.CH52	15.CH132	
	ADG1414_SDO		I/O	15.CH49	15.CH133	
	ADG1414_SYNC		I/O	15.CH54	15.CH134	
	AMUX_A2		I/O	15.CH122	15.CH158	
	AMUX_A3		I/O	15.CH167	15.CH71	
	AMUX_A4		I/O	15.CH126	15.CH154	
	AMUX_A5		I/O	15.CH163	15.CH67	
	AMUX_A6		I/O	15.CH166	15.CH84	
	AMUX_A7		I/O	15.CH173	15.CH81	
	AMUX_AY		I/O	15.CH127	15.CH76	
	AMUX_AY_DC30		DCVI	11.sense7	11.sense18	
	AMUX_AY_DC30_DM		DCDiffMeter	11.sense7	11.sense18	
	AMUX_AY_DC30_DT		DCTime	11.sense7	11.sense18	
	AMUX_AY_UVI80		DCVI	19.sense13	7.sense6	
	AMUX_AY_UVI80_DM		DCDiffMeter	19.sense13	7.sense6	
	AMUX_AY_UVI80_DT		DCTime	19.sense13	7.sense6	
	AMUX_B0		I/O	15.CH160	15.CH90	
	AMUX_B1		I/O	15.CH181	15.CH93	
	AMUX_B2		I/O	15.CH174	15.CH74	
	AMUX_B3		I/O	15.CH255	15.CH69	
	AMUX_B4		I/O	15.CH170	15.CH86	
	AMUX_B5		I/O	15.CH247	15.CH89	
	AMUX_B6		I/O	15.CH116	15.CH156	
	AMUX_B7		I/O	15.CH125	15.CH131	
	AMUX_BY		I/O	15.CH119	15.CH78	
	AMUX_BY_DC30		DCVI	11.sense3	11.sense14	
	AMUX_BY_DC30_DM		DCDiffMeter	11.sense3	11.sense14	
	AMUX_BY_DC30_DT		DCTime	11.sense3	11.sense14	
	AMUX_BY_UVI80		DCVI	19.sense17	7.sense13	
	AMUX_BY_UVI80_DM		DCDiffMeter	19.sense17	7.sense13	
	AMUX_BY_UVI80_DT		DCTime	19.sense17	7.sense13	
	AMUX_N0		I/O	15.CH177	15.CH91	
	AMUX_P0		I/O	15.CH124	15.CH148	
	ATB3_CAL_UVI80_HI		DCVI	19.sense6	7.sense1	
	ATB3_CAL_UVI80_HI_DM		DCDiffMeter	19.sense6	7.sense1	
	ATB3_CAL_UVI80_HI_DT		DCTime	19.sense6	7.sense1	
	ATB3_CAL_UVI80_LOW		DCVI	19.sense1	7.sense9	
	ATB3_CAL_UVI80_LOW_DM		DCDiffMeter	19.sense1	7.sense9	
	ATB3_CAL_UVI80_LOW_DT		DCTime	19.sense1	7.sense9	
	BRICK_ID1_UVI80		DCVI	S:ADC_IN_UVI80	S:ADC_IN_UVI80	
	BRICK_ID1_UVI80_DM		DCDiffMeter	S:ADC_IN_UVI80_DM	S:ADC_IN_UVI80_DM	
	BRICK_ID1_UVI80_DT		DCTime	S:ADC_IN_UVI80_DT	S:ADC_IN_UVI80_DT	
	BRICK_ID2_UVI80		DCVI	S:ADC_IN_UVI80	S:ADC_IN_UVI80	
	BRICK_ID2_UVI80_DM		DCDiffMeter	S:ADC_IN_UVI80_DM	S:ADC_IN_UVI80_DM	
	BRICK_ID2_UVI80_DT		DCTime	S:ADC_IN_UVI80_DT	S:ADC_IN_UVI80_DT	
	BSTLQ_LX_UVI80		DCVI	19.sense21	7.sense21	
	BSTLQ_LX_UVI80_DM		DCDiffMeter	19.sense21	7.sense21	
	BSTLQ_LX_UVI80_DT		DCTime	19.sense21	7.sense21	
	BSTLQ_VOUT_UVI80		DCVI	19.sense66	7.sense67	
	BSTLQ_VOUT_UVI80_DM		DCDiffMeter	19.sense66	7.sense67	
	BSTLQ_VOUT_UVI80_DT		DCTime	19.sense66	7.sense67	
	BUCK_SWI0_IN_UVI80		DCVI	19.sense50	7.sense75	
	BUCK_SWI0_IN_UVI80_DM		DCDiffMeter	19.sense50	7.sense75	
	BUCK_SWI0_IN_UVI80_DT		DCTime	19.sense50	7.sense75	
	BUCK_SWI1_IN_UVI80		DCVI	19.sense4	7.sense74	
	BUCK_SWI1_IN_UVI80_DM		DCDiffMeter	19.sense4	7.sense74	
	BUCK_SWI1_IN_UVI80_DT		DCTime	19.sense4	7.sense74	
	BUCK2_CBOT_UVI80		DCVI	19.sense58	7.sense58	
	BUCK2_CBOT_UVI80_DM		DCDiffMeter	19.sense58	7.sense58	
	BUCK2_CBOT_UVI80_DT		DCTime	19.sense58	7.sense58	
	BUCK2_CTOP_UVI80		DCVI	19.sense53	7.sense53	
	BUCK2_CTOP_UVI80_DM		DCDiffMeter	19.sense53	7.sense53	
	BUCK2_CTOP_UVI80_DT		DCTime	19.sense53	7.sense53	
	BUCK2_FB_UVI80		DCVI	19.sense74	7.sense66	
	BUCK2_FB_UVI80_DM		DCDiffMeter	19.sense74	7.sense66	
	BUCK2_FB_UVI80_DT		DCTime	19.sense74	7.sense66	
	BUCK2_LX		I/O	15.CH106	15.CH212	
	BUCK2_LX_UVI80		DCVI	19.sense42	7.sense42	
	BUCK2_LX_UVI80_DM		DCDiffMeter	19.sense42	7.sense42	
	BUCK2_LX_UVI80_DT		DCTime	19.sense42	7.sense42	
	BUCK6_FB_UVI80		DCVI	19.sense80	7.sense25	
	BUCK6_FB_UVI80_DM		DCDiffMeter	19.sense80	7.sense25	
	BUCK6_FB_UVI80_DT		DCTime	19.sense80	7.sense25	
	BUCK6_LX		I/O	15.CH241	15.CH65	
	BUCK6_LX_UVI80		DCVI	19.sense51	7.sense51	
	BUCK6_LX_UVI80_DM		DCDiffMeter	19.sense51	7.sense51	
	BUCK6_LX_UVI80_DT		DCTime	19.sense51	7.sense51	
	BUCK6_VOUT_UVI80		DCVI	19.sense55	7.sense55	
	BUCK6_VOUT_UVI80_DM		DCDiffMeter	19.sense55	7.sense55	
	BUCK6_VOUT_UVI80_DT		DCTime	19.sense55	7.sense55	
	BUTTON1		I/O	15.CH102	15.CH202	
	BUTTON2		I/O	15.CH104	15.CH216	
	BUTTON3		I/O	15.CH107	15.CH217	
	BUTTON4		I/O	15.CH238	15.CH22	
	BUTTONO1		I/O	15.CH121	15.CH207	
	BUTTONO2		I/O	15.CH97	15.CH153	
	BUTTONO3		I/O	15.CH101	15.CH203	
	CB_BSTLQ_LX_UVI80		I/O	15.CH243	site0	
	CB_VDD_BSTLQ_IN_BSTLQ_VOUT		I/O	15.CH242	site0	
	CPU_TRIGGER0_L		I/O	15.CH111	15.CH149	
	CPU_TRIGGER1_L		I/O	15.CH109	15.CH145	
	CRASH_L		I/O	15.CH113	15.CH141	
	DBLCLICK_DET		I/O	15.CH99	15.CH143	
	DC30_DGS_1_DM		DCDiffMeter	11.dgs1	site0	
	DC30_DGS_2_DM		DCDiffMeter	11.dgs2	site0	
	DC30_DGS_3_DM		DCDiffMeter	11.dgs3	site0	
	DC30_DGS_4_DM		DCDiffMeter	11.dgs4	site0	
	DFT_CTRL_0		I/O	15.CH38	15.CH146	
	DFT_CTRL_1		I/O	15.CH33	15.CH151	
	FAULT_OUT_L		I/O	15.CH229	15.CH205	
	FORCE_SYNC		I/O	15.CH184	15.CH72	
	GPIO1		I/O	15.CH226	15.CH218	
	GPIO10		I/O	15.CH58	15.CH214	
	GPIO11		I/O	15.CH60	15.CH210	
	GPIO12		I/O	15.CH228	15.CH14	
	GPIO13		I/O	15.CH110	15.CH128	
	GPIO14		I/O	15.CH34	15.CH138	
	GPIO15		I/O	15.CH46	15.CH140	
	GPIO16		I/O	15.CH42	15.CH136	
	GPIO17		I/O	15.CH232	15.CH24	
	GPIO18		I/O	15.CH224	15.CH16	
	GPIO19		I/O	15.CH48	15.CH220	
	GPIO2		I/O	15.CH36	15.CH144	
	GPIO20		I/O	15.CH234	15.CH20	
	GPIO21		I/O	15.CH231	15.CH215	
	GPIO22		I/O	15.CH237	15.CH223	
	GPIO23		I/O	15.CH227	15.CH221	
	GPIO24		I/O	15.CH235	15.CH25	
	GPIO25		I/O	15.CH230	15.CH206	
	GPIO3		I/O	15.CH37	15.CH147	
	GPIO4		I/O	15.CH32	15.CH150	
	GPIO5		I/O	15.CH108	15.CH198	
	GPIO6		I/O	15.CH40	15.CH194	
	GPIO7		I/O	15.CH62	15.CH208	
	GPIO8		I/O	15.CH44	15.CH204	
	GPIO9		I/O	15.CH248	15.CH30	
	GPU_TRIGGER0_L		I/O	15.CH103	15.CH159	
	GPU_TRIGGER1_L		I/O	15.CH185	15.CH75	
