DTPinMap,version=2.1:platform=Jaguar:toprow=-1:leftcol=-1:rightcol=-1	Pin Map
					
	Group Name	Pin Name	Type	Comment
		ACTIVE_READY	I/O	
		ADC_IN	I/O	
		ADC_IN_UVI80	Analog	
		ADC_IN_UVI80_DM	Analog	
		ADC_IN_UVI80_DT	Analog	
		ADG1414_DIN	I/O	
		ADG1414_RESET	I/O	
		ADG1414_SCLK	I/O	
		ADG1414_SDO	I/O	
		ADG1414_SYNC	I/O	
		AMUX_A2	I/O	
		AMUX_A3	I/O	
		AMUX_A4	I/O	
		AMUX_A5	I/O	
		AMUX_A6	I/O	
		AMUX_A7	I/O	
		AMUX_AY	I/O	
		AMUX_AY_DC30	Analog	
		AMUX_AY_DC30_DM	Analog	
		AMUX_AY_DC30_DT	Analog	
		AMUX_AY_UVI80	Analog	
		AMUX_AY_UVI80_DM	Analog	
		AMUX_AY_UVI80_DT	Analog	
		AMUX_B0	I/O	
		AMUX_B1	I/O	
		AMUX_B2	I/O	
		AMUX_B3	I/O	
		AMUX_B4	I/O	
		AMUX_B5	I/O	
		AMUX_B6	I/O	
		AMUX_B7	I/O	
		AMUX_BY	I/O	
		AMUX_BY_DC30	Analog	
		AMUX_BY_DC30_DM	Analog	
		AMUX_BY_DC30_DT	Analog	
		AMUX_BY_UVI80	Analog	
		AMUX_BY_UVI80_DM	Analog	
		AMUX_BY_UVI80_DT	Analog	
		AMUX_N0	I/O	
		AMUX_P0	I/O	
		ATB3_CAL_UVI80_HI	Analog	
		ATB3_CAL_UVI80_HI_DM	Analog	
		ATB3_CAL_UVI80_HI_DT	Analog	
		ATB3_CAL_UVI80_LOW	Analog	
		ATB3_CAL_UVI80_LOW_DM	Analog	
		ATB3_CAL_UVI80_LOW_DT	Analog	
		BRICK_ID1_UVI80	Analog	
		BRICK_ID1_UVI80_DM	Analog	
		BRICK_ID1_UVI80_DT	Analog	
		BRICK_ID2_UVI80	Analog	
		BRICK_ID2_UVI80_DM	Analog	
		BRICK_ID2_UVI80_DT	Analog	
		BSTLQ_LX_UVI80	Analog	
		BSTLQ_LX_UVI80_DM	Analog	
		BSTLQ_LX_UVI80_DT	Analog	
		BSTLQ_VOUT_UVI80	Analog	
		BSTLQ_VOUT_UVI80_DM	Analog	
		BSTLQ_VOUT_UVI80_DT	Analog	
		BUCK_SWI0_IN_UVI80	power	
		BUCK_SWI0_IN_UVI80_DM	Analog	
		BUCK_SWI0_IN_UVI80_DT	Analog	
		BUCK_SWI1_IN_UVI80	power	
		BUCK_SWI1_IN_UVI80_DM	Analog	
		BUCK_SWI1_IN_UVI80_DT	Analog	
		BUCK2_CBOT_UVI80	Analog	
		BUCK2_CBOT_UVI80_DM	Analog	
		BUCK2_CBOT_UVI80_DT	Analog	
		BUCK2_CTOP_UVI80	Analog	
		BUCK2_CTOP_UVI80_DM	Analog	
		BUCK2_CTOP_UVI80_DT	Analog	
		BUCK2_FB_UVI80	Analog	
		BUCK2_FB_UVI80_DM	Analog	
		BUCK2_FB_UVI80_DT	Analog	
		BUCK2_LX	I/O	
		BUCK2_LX_UVI80	Analog	
		BUCK2_LX_UVI80_DM	Analog	
		BUCK2_LX_UVI80_DT	Analog	
		BUCK6_FB_UVI80	Analog	
		BUCK6_FB_UVI80_DM	Analog	
		BUCK6_FB_UVI80_DT	Analog	
		BUCK6_LX	I/O	
		BUCK6_LX_UVI80	Analog	
		BUCK6_LX_UVI80_DM	Analog	
		BUCK6_LX_UVI80_DT	Analog	
		BUCK6_VOUT_UVI80	Analog	
		BUCK6_VOUT_UVI80_DM	Analog	
		BUCK6_VOUT_UVI80_DT	Analog	
		BUTTON1	I/O	
		BUTTON2	I/O	
		BUTTON3	I/O	
		BUTTON4	I/O	
		BUTTONO1	I/O	
		BUTTONO2	I/O	
		BUTTONO3	I/O	
		CB_BSTLQ_LX_UVI80	I/O	
		CB_VDD_BSTLQ_IN_BSTLQ_VOUT	I/O	
		CPU_TRIGGER0_L	I/O	
		CPU_TRIGGER1_L	I/O	
		CRASH_L	I/O	
		DBLCLICK_DET	I/O	
		DC30_DGS_1_DM	Analog	
		DC30_DGS_2_DM	Analog	
		DC30_DGS_3_DM	Analog	
		DC30_DGS_4_DM	Analog	
		DFT_CTRL_0	I/O	
		DFT_CTRL_1	I/O	
		FAULT_OUT_L	I/O	
		FORCE_SYNC	I/O	
		GPIO1	I/O	
		GPIO10	I/O	
		GPIO11	I/O	
		GPIO12	I/O	
		GPIO13	I/O	
		GPIO14	I/O	
		GPIO15	I/O	
		GPIO16	I/O	
		GPIO17	I/O	
		GPIO18	I/O	
		GPIO19	I/O	
		GPIO2	I/O	
		GPIO20	I/O	
		GPIO21	I/O	
		GPIO22	I/O	
		GPIO23	I/O	
		GPIO24	I/O	
		GPIO25	I/O	
		GPIO3	I/O	
		GPIO4	I/O	
		GPIO5	I/O	
		GPIO6	I/O	
		GPIO7	I/O	
		GPIO8	I/O	
		GPIO9	I/O	
		GPU_TRIGGER0_L	I/O	
		GPU_TRIGGER1_L	I/O	
		IBAT_UVI80	Analog	
		IBAT_UVI80_DM	Analog	
		IBAT_UVI80_DT	Analog	
		IDAC_11_6_10_BUS_UVI80	Analog	
		IDAC_11_6_10_BUS_UVI80_DM	Analog	
		IDAC_11_6_10_BUS_UVI80_DT	Analog	
		IDAC_11_6_11_BUS_UVI80	Analog	
		IDAC_11_6_11_BUS_UVI80_DM	Analog	
		IDAC_11_6_11_BUS_UVI80_DT	Analog	
		IDAC_11_6_6_BUS_UVI80	Analog	
		IDAC_11_6_6_BUS_UVI80_DM	Analog	
		IDAC_11_6_6_BUS_UVI80_DT	Analog	
		IDAC_11_6_7_BUS_UVI80	Analog	
		IDAC_11_6_7_BUS_UVI80_DM	Analog	
		IDAC_11_6_7_BUS_UVI80_DT	Analog	
		IDAC_11_6_8_BUS_UVI80	Analog	
		IDAC_11_6_8_BUS_UVI80_DM	Analog	
		IDAC_11_6_8_BUS_UVI80_DT	Analog	
		IDAC_11_6_9_BUS_UVI80	Analog	
		IDAC_11_6_9_BUS_UVI80_DM	Analog	
		IDAC_11_6_9_BUS_UVI80_DT	Analog	
		IDAC_17_12_1_BUS_UVI80	Analog	
		IDAC_17_12_1_BUS_UVI80_DM	Analog	
		IDAC_17_12_1_BUS_UVI80_DT	Analog	
		IDAC_5_0_BUS_UVI80	Analog	
		IDAC_5_0_BUS_UVI80_DM	Analog	
		IDAC_5_0_BUS_UVI80_DT	Analog	
		IDAC_OUT_0_DC30	Analog	
		IDAC_OUT_0_DC30_DM	Analog	
		IDAC_OUT_0_DC30_DT	Analog	
		IDAC_OUT_0_UVI80	Analog	
		IDAC_OUT_0_UVI80_DM	Analog	
		IDAC_OUT_0_UVI80_DT	Analog	
		IDAC_OUT_1_DC30	Analog	
		IDAC_OUT_1_DC30_DM	Analog	
		IDAC_OUT_1_DC30_DT	Analog	
		IDAC_OUT_1_UVI80	Analog	
		IDAC_OUT_1_UVI80_DM	Analog	
		IDAC_OUT_1_UVI80_DT	Analog	
		IDAC_OUT_10_DC30	Analog	
		IDAC_OUT_10_DC30_DM	Analog	
		IDAC_OUT_10_DC30_DT	Analog	
		IDAC_OUT_10_UVI80	Analog	
		IDAC_OUT_10_UVI80_DM	Analog	
		IDAC_OUT_10_UVI80_DT	Analog	
		IDAC_OUT_11_DC30	Analog	
		IDAC_OUT_11_DC30_DM	Analog	
		IDAC_OUT_11_DC30_DT	Analog	
		IDAC_OUT_11_UVI80	Analog	
		IDAC_OUT_11_UVI80_DM	Analog	
		IDAC_OUT_11_UVI80_DT	Analog	
		IDAC_OUT_12_DC30	Analog	
		IDAC_OUT_12_DC30_DM	Analog	
		IDAC_OUT_12_DC30_DT	Analog	
		IDAC_OUT_12_UVI80	Analog	
		IDAC_OUT_12_UVI80_DM	Analog	
		IDAC_OUT_12_UVI80_DT	Analog	
		IDAC_OUT_13_DC30	Analog	
		IDAC_OUT_13_DC30_DM	Analog	
		IDAC_OUT_13_DC30_DT	Analog	
		IDAC_OUT_13_UVI80	Analog	
		IDAC_OUT_13_UVI80_DM	Analog	
		IDAC_OUT_13_UVI80_DT	Analog	
		IDAC_OUT_14_DC30	Analog	
		IDAC_OUT_14_DC30_DM	Analog	
		IDAC_OUT_14_DC30_DT	Analog	
		IDAC_OUT_14_UVI80	Analog	
		IDAC_OUT_14_UVI80_DM	Analog	
		IDAC_OUT_14_UVI80_DT	Analog	
		IDAC_OUT_15_DC30	Analog	
		IDAC_OUT_15_DC30_DM	Analog	
		IDAC_OUT_15_DC30_DT	Analog	
		IDAC_OUT_15_UVI80	Analog	
		IDAC_OUT_15_UVI80_DM	Analog	
		IDAC_OUT_15_UVI80_DT	Analog	
		IDAC_OUT_16_DC30	Analog	
		IDAC_OUT_16_DC30_DM	Analog	
		IDAC_OUT_16_DC30_DT	Analog	
		IDAC_OUT_16_UVI80	Analog	
		IDAC_OUT_16_UVI80_DM	Analog	
		IDAC_OUT_16_UVI80_DT	Analog	
		IDAC_OUT_17_DC30	Analog	
		IDAC_OUT_17_DC30_DM	Analog	
		IDAC_OUT_17_DC30_DT	Analog	
		IDAC_OUT_17_UVI80	Analog	
		IDAC_OUT_17_UVI80_DM	Analog	
		IDAC_OUT_17_UVI80_DT	Analog	
		IDAC_OUT_2_DC30	Analog	
		IDAC_OUT_2_DC30_DM	Analog	
		IDAC_OUT_2_DC30_DT	Analog	
		IDAC_OUT_2_UVI80	Analog	
		IDAC_OUT_2_UVI80_DM	Analog	
		IDAC_OUT_2_UVI80_DT	Analog	
		IDAC_OUT_3_DC30	Analog	
		IDAC_OUT_3_DC30_DM	Analog	
		IDAC_OUT_3_DC30_DT	Analog	
		IDAC_OUT_3_UVI80	Analog	
		IDAC_OUT_3_UVI80_DM	Analog	
		IDAC_OUT_3_UVI80_DT	Analog	
		IDAC_OUT_4_DC30	Analog	
		IDAC_OUT_4_DC30_DM	Analog	
		IDAC_OUT_4_DC30_DT	Analog	
		IDAC_OUT_4_UVI80	Analog	
		IDAC_OUT_4_UVI80_DM	Analog	
		IDAC_OUT_4_UVI80_DT	Analog	
		IDAC_OUT_5_DC30	Analog	
		IDAC_OUT_5_DC30_DM	Analog	
		IDAC_OUT_5_DC30_DT	Analog	
		IDAC_OUT_5_UVI80	Analog	
		IDAC_OUT_5_UVI80_DM	Analog	
		IDAC_OUT_5_UVI80_DT	Analog	
		IDAC_OUT_6_DC30	Analog	
		IDAC_OUT_6_DC30_DM	Analog	
		IDAC_OUT_6_DC30_DT	Analog	
		IDAC_OUT_6_UVI80	Analog	
		IDAC_OUT_6_UVI80_DM	Analog	
		IDAC_OUT_6_UVI80_DT	Analog	
		IDAC_OUT_7_DC30	Analog	
		IDAC_OUT_7_DC30_DM	Analog	
		IDAC_OUT_7_DC30_DT	Analog	
		IDAC_OUT_7_UVI80	Analog	
		IDAC_OUT_7_UVI80_DM	Analog	
		IDAC_OUT_7_UVI80_DT	Analog	
		IDAC_OUT_8_DC30	Analog	
		IDAC_OUT_8_DC30_DM	Analog	
