No,Site,Bump Number,Bump Name,Bump X(mil),Bump Y(mil),Ball ,Ball name,channel,Assignment,POGO,PS,type,Update Notes
0,0,G17,AMUX_P0,-102.36,-396.95,,,15.UP16_CH124,15.CH124,15.D404,,I/O,
1,0,M16,AMUX_N0,-90.55,-456,,,15.UP16_CH177,15.CH177,15.H316,,I/O,
2,0,H17,AMUX_A2,-102.36,-412.7,,,15.UP16_CH122,15.CH122,15.B404,,I/O,
3,0,P17,AMUX_A3,-104.33,-483.56,,,15.UP16_CH167,15.CH167,15.K310,,I/O,
4,0,J17,AMUX_A4,-102.36,-428.44,,,15.UP16_CH126,15.CH126,15.B408,,I/O,
5,0,N17,AMUX_A5,-104.33,-469.78,,,15.UP16_CH163,15.CH163,15.N310,,I/O,
6,0,L17,AMUX_A6,-104.33,-442.22,,,15.UP16_CH166,15.CH166,15.K308,,I/O,
7,0,M17,AMUX_A7,-104.33,-456,,,15.UP16_CH173,15.CH173,15.H308,,I/O,
8,0,N16,AMUX_B0,-90.55,-469.78,,,15.UP16_CH160,15.CH160,15.N302,,I/O,
9,0,L16,AMUX_B1,-90.55,-442.22,,,15.UP16_CH181,15.CH181,15.K316,,I/O,
10,0,P16,AMUX_B2,-90.55,-483.56,,,15.UP16_CH174,15.CH174,15.H310,,I/O,
11,0,J16,AMUX_B3,-86.61,-428.44,,,15.UP16_CH255,15.CH255,15.AD318,,I/O,
12,0,P15,AMUX_B4,-76.77,-483.56,,,15.UP16_CH170,15.CH170,15.K302,,I/O,
13,0,H16,AMUX_B5,-86.61,-412.7,,,15.UP16_CH247,15.CH247,15.AB318,,I/O,
14,0,M15,AMUX_B6,-76.77,-456,,,15.UP16_CH116,15.CH116,15.D410,,I/O,
15,0,G16,AMUX_B7,-86.61,-396.95,,,15.UP16_CH125,15.CH125,15.D402,,I/O,
16,0,N15,AMUX_AY,-76.77,-469.78,,,15.UP16_CH127,15.CH127,15.B406,,I/O,
17,0,R15,AMUX_BY,-76.77,-497.34,,,15.UP16_CH119,15.CH119,15.D406,,I/O,
18,0,L14,TCAL,-62.99,-442.22,,,15.UP16_CH120,15.CH120,15.B412,,I/O,
19,0,F15,TDEV1,-70.87,-381.2,,,15.UP16_CH117,15.CH117,15.D408,,I/O,
20,0,G15,TDEV2,-70.87,-396.95,,,15.UP16_CH246,15.CH246,15.Z318,,I/O,
21,0,P14,TDEV3,-62.99,-483.56,,,15.UP16_CH171,15.CH171,15.K304,,I/O,
22,0,H15,TDEV4,-70.87,-412.7,,,15.UP16_CH182,15.CH182,15.H318,,I/O,
23,0,J15,TDEV5,-70.87,-428.44,,,15.UP16_CH191,15.CH191,15.N316,,I/O,
24,0,R5,GPIO1,62.99,-497.34,,,15.UP16_CH226,15.CH226,15.AD308,,I/O,
25,0,Y14,GPIO2,-62.99,-566.24,,,15.UP16_CH036,15.CH36,15.R418,,I/O,
26,0,W10,GPIO3,-7.87,-552.46,,,15.UP16_CH037,15.CH37,15.T418,,I/O,
27,0,Y13,GPIO4,-49.21,-566.24,,,15.UP16_CH032,15.CH32,15.R422,,I/O,
28,0,Y12,GPIO5,-35.43,-566.24,,,15.UP16_CH108,15.CH108,15.F416,,I/O,
29,0,Y11,GPIO6,-21.65,-566.24,,,15.UP16_CH040,15.CH40,15.X422,,I/O,
30,0,Y10,GPIO7,-7.87,-566.24,,,15.UP16_CH062,15.CH62,15.R410,,I/O,
31,0,W9,GPIO8,7.87,-552.46,,,15.UP16_CH044,15.CH44,15.X418,,I/O,
