DTTimesetBasicSheet,version = 2.3:platform = Jaguar:toprow = -1:leftcol = -1:rightcol = -1:tabcolor = 16777215	Time Sets (Basic)

	Timing Mode:	Single		Master Timeset Name:
	Time Domain:			Strobe Ref Setup Name:

		Cycle	Pin / Group			Data		Drive				Compare				Edge Resolution
	Time Set	Period	Name	Clock Period	Setup	Src	Fmt	On	Data	Return	Off	Mode	Open	Close	Ref Offset	Mode	Comment
	tsetAHB	= _JTAG_Period	AMUX_P0		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
	tsetAHB	= _JTAG_Period	AMUX_N0		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
	tsetAHB	= _JTAG_Period	AMUX_A2		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
	tsetAHB	= _JTAG_Period	AMUX_A3		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
	tsetAHB	= _JTAG_Period	AMUX_A4		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
	tsetAHB	= _JTAG_Period	AMUX_A5		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
	tsetAHB	= _JTAG_Period	AMUX_A6		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
	tsetAHB	= _JTAG_Period	AMUX_A7		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
	tsetAHB	= _JTAG_Period	AMUX_B0		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
	tsetAHB	= _JTAG_Period	AMUX_B1		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
	tsetAHB	= _JTAG_Period	AMUX_B2		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
	tsetAHB	= _JTAG_Period	AMUX_B3		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
	tsetAHB	= _JTAG_Period	AMUX_B4		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
	tsetAHB	= _JTAG_Period	AMUX_B5		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
	tsetAHB	= _JTAG_Period	AMUX_B6		i/ o	PAT	NR	0	0		0	Edge	= _JTAG_Period * 0.76923			Auto
