index	block	reg address	reg link	reg name	field name	field width	field offset	field position	field access	field formula	isdeterministic	type	istestmode	isotp	otpowner	otpkey	readback value	hw reset value	comments	
1	VIRTUAL	0X1080	html	VIRTUAL_STATUS_STATUS_A	STA_GPIO1	1	0	0	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
2	VIRTUAL	0X1080	html	VIRTUAL_STATUS_STATUS_A	STA_GPIO2	1	1	1	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
3	VIRTUAL	0X1080	html	VIRTUAL_STATUS_STATUS_A	STA_GPIO3	1	2	2	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
4	VIRTUAL	0X1080	html	VIRTUAL_STATUS_STATUS_A	STA_GPIO4	1	3	3	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
5	VIRTUAL	0X1080	html	VIRTUAL_STATUS_STATUS_A	STA_GPIO5	1	4	4	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
6	VIRTUAL	0X1080	html	VIRTUAL_STATUS_STATUS_A	STA_GPIO6	1	5	5	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
7	VIRTUAL	0X1080	html	VIRTUAL_STATUS_STATUS_A	STA_GPIO7	1	6	6	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
8	VIRTUAL	0X1080	html	VIRTUAL_STATUS_STATUS_A	STA_GPIO8	1	7	7	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
9	VIRTUAL	0X1081	html	VIRTUAL_STATUS_STATUS_B	STA_GPIO9	1	0	0	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
10	VIRTUAL	0X1081	html	VIRTUAL_STATUS_STATUS_B	STA_GPIO10	1	1	1	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
11	VIRTUAL	0X1081	html	VIRTUAL_STATUS_STATUS_B	STA_GPIO11	1	2	2	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
12	VIRTUAL	0X1081	html	VIRTUAL_STATUS_STATUS_B	STA_GPIO12	1	3	3	RO	NA	TRUE	TBD	FALSE	FALSE	NA	NA	TBD	0X0	
