																				OTP_AVC_V001	

OTP_REGISTER_NAME	name	inst_name	inst_base	reg_name	reg_ofs	otp_owner	DEFAULT VALUE	bw	idx	offset	otp_b0	otp_a0	otpreg_add	otpreg_ofs	Default or Real	REAL VALUE	Comment	Different	OTP_ECID_ONLY	OTP_AVC_V001	END	
OTP__ARRAY_PROGRAMMED_0	ARRAY_PROGRAMMED			ARRAY_PROG_CRC_PTR		chiplead	0	1	0	0	0	0	0	0	Default				0	1	
OTP__ARRAY_PROG_CRC_PTR_0	ARRAY_PROG_CRC_PTR			ARRAY_PROG_CRC_PTR		trim	0	7	1	1	0	0	0	1	Default				0	0	
OTP_SYS_CTRL_START_H_1	START_H	SYS_CTRL	13056	SYS_CTRL_FLL_CFG_FLLDACSH_REG	0	-	1	1	2	8	0	0	1	0	Default				0	1	
OTP_SYS_CTRL_START_L_2	START_L	SYS_CTRL	13056	SYS_CTRL_FLL_CFG_FLLDACSL_REG	1	-	44	8	3	9	0	0	2	0	Default				0	44	
OTP_SYS_CTRL_FLL_AON_3	FLL_AON	SYS_CTRL	13056	SYS_CTRL_FLL_CFG_FLL_CFG1_REG	2	-	0	1	4	17	0	0	3	0	Default				0	0	
OTP_SYS_CTRL_D_SEL_DCDC_CLK_3	D_SEL_DCDC_CLK	SYS_CTRL	13056	SYS_CTRL_FLL_CFG_FLL_CFG1_REG	2	-	0	1	5	18	0	0	3	1	Default				0	0	
OTP_SYS_CTRL_FLL_ON_32MEG_3	FLL_ON_32MEG	SYS_CTRL	13056	SYS_CTRL_FLL_CFG_FLL_CFG1_REG	2	-	0	1	6	19	0	0	3	2	Default				0	0	
OTP_SYS_CTRL_D_DOUBLE_DCDC_96MEG_3	D_DOUBLE_DCDC_96MEG	SYS_CTRL	13056	SYS_CTRL_FLL_CFG_FLL_CFG1_REG	2	-	0	1	7	20	0	0	3	3	Default				0	0	
OTP_SYS_CTRL_START_H_4	START_H	SYS_CTRL	13056	SYS_CTRL_FLL_CFG_FLL_LOW_LIMIT_DACSH_REG	8	-	0	1	8	21	0	0	4	0	Default				0	0	
OTP_SYS_CTRL_START_L_5	START_L	SYS_CTRL	13056	SYS_CTRL_FLL_CFG_FLL_LOW_LIMIT_DACSL_REG	9	-	0	8	9	22	0	0	5	0	Default				0	0	
OTP_SYS_CTRL_START_H_6	START_H	SYS_CTRL	13056	SYS_CTRL_FLL_CFG_FLL_UP_LIMIT_DACSH_REG	10	-	1	1	10	30	0	0	6	0	Default				0	1	
OTP_SYS_CTRL_START_L_7	START_L	SYS_CTRL	13056	SYS_CTRL_FLL_CFG_FLL_UP_LIMIT_DACSL_REG	11	-	255	8	11	31	0	0	7	0	Default				0	255	
OTP_SYS_CTRL_RES_8	RES	SYS_CTRL	13056	SYS_CTRL_FLL_CFG_FLL_CFG	12	-	0	2	12	7	0	1	8	0	Default				0	0	
